INFO     | 2021-01-14 06:17:07,885 | progress   |       Finished subset 26/528, 4.92 percent done
INFO     | 2021-01-14 06:17:10,034 | progress   |       Finished subset 27/528, 5.11 percent done
INFO     | 2021-01-14 06:17:25,514 | progress   |       Finished subset 28/528, 5.30 percent done
INFO     | 2021-01-14 06:18:28,077 | progress   |       Finished subset 29/528, 5.49 percent done
INFO     | 2021-01-14 06:19:15,298 | progress   |       Finished subset 30/528, 5.68 percent done
INFO     | 2021-01-14 06:20:11,500 | progress   |       Finished subset 31/528, 5.87 percent done
INFO     | 2021-01-14 06:20:41,080 | progress   |       Finished subset 32/528, 6.06 percent done
INFO     | 2021-01-14 06:21:17,411 | progress   |       Finished subset 33/528, 6.25 percent done
INFO     | 2021-01-14 06:21:45,965 | progress   |       Finished subset 34/528, 6.44 percent done
INFO     | 2021-01-14 06:21:57,617 | progress   |       Finished subset 35/528, 6.63 percent done
INFO     | 2021-01-14 06:22:46,266 | progress   |       Finished subset 36/528, 6.82 percent done
INFO     | 2021-01-14 06:23:28,060 | progress   |       Finished subset 37/528, 7.01 percent done
INFO     | 2021-01-14 06:23:59,761 | progress   |       Finished subset 38/528, 7.20 percent done
INFO     | 2021-01-14 06:24:33,419 | progress   |       Finished subset 39/528, 7.39 percent done
INFO     | 2021-01-14 06:25:24,546 | progress   |       Finished subset 40/528, 7.58 percent done
INFO     | 2021-01-14 06:26:07,475 | progress   |       Finished subset 41/528, 7.77 percent done
INFO     | 2021-01-14 06:26:50,625 | progress   |       Finished subset 42/528, 7.95 percent done
INFO     | 2021-01-14 06:27:14,373 | progress   |       Finished subset 43/528, 8.14 percent done
INFO     | 2021-01-14 06:27:58,393 | progress   |       Finished subset 44/528, 8.33 percent done
INFO     | 2021-01-14 06:28:52,363 | progress   |       Finished subset 45/528, 8.52 percent done
INFO     | 2021-01-14 06:29:21,174 | progress   |       Finished subset 46/528, 8.71 percent done
INFO     | 2021-01-14 06:30:15,986 | progress   |       Finished subset 47/528, 8.90 percent done
INFO     | 2021-01-14 06:31:07,856 | progress   |       Finished subset 48/528, 9.09 percent done
INFO     | 2021-01-14 06:31:57,515 | progress   |       Finished subset 49/528, 9.28 percent done
INFO     | 2021-01-14 06:32:36,522 | progress   |       Finished subset 50/528, 9.47 percent done
INFO     | 2021-01-14 06:33:36,679 | progress   |       Finished subset 51/528, 9.66 percent done
INFO     | 2021-01-14 06:33:56,916 | progress   |       Finished subset 52/528, 9.85 percent done
INFO     | 2021-01-14 06:34:40,623 | progress   |       Finished subset 53/528, 10.04 percent done
INFO     | 2021-01-14 06:34:45,701 | progress   |       Finished subset 54/528, 10.23 percent done
INFO     | 2021-01-14 06:35:09,159 | progress   |       Finished subset 55/528, 10.42 percent done
INFO     | 2021-01-14 06:35:48,681 | progress   |       Finished subset 56/528, 10.61 percent done
INFO     | 2021-01-14 06:36:04,477 | progress   |       Finished subset 57/528, 10.80 percent done
INFO     | 2021-01-14 06:36:14,341 | progress   |       Finished subset 58/528, 10.98 percent done
