Iteration	Posterior	Likelihood	Prior	extirpation_rate	log10_rate_bg	rate_bg
12600	-204.8436	-202.9547	-1.888902	1.148243	-0.8032682	0.1573011
12700	-204.6128	-202.9499	-1.662906	1.01291	-0.2624561	0.5464418
12800	-205.2605	-200.7348	-4.525652	2.417393	-0.7752667	0.1677773
12900	-203.8169	-200.7111	-3.105801	1.748456	-0.7350125	0.1840719
13000	-204.0624	-200.2433	-3.819118	2.082116	-0.3687664	0.4277929
13100	-202.6684	-199.3145	-3.353979	1.86446	-0.4525757	0.3527153
13200	-203.1939	-201.7819	-1.411919	0.8048092	-0.4502207	0.3546331
13300	-202.3749	-200.0341	-2.340809	1.3834	-0.6211544	0.2392465
13400	-203.8346	-198.8469	-4.987715	2.641661	-0.5458811	0.284524
13500	-202.199	-199.3273	-2.871688	1.638519	-0.4789486	0.3319338
13600	-204.316	-199.3861	-4.929897	2.613341	-0.4534857	0.351977
13700	-202.3575	-199.3746	-2.98288	1.690832	-0.5999112	0.25124
13800	-203.5327	-202.0494	-1.483332	0.8791654	-0.3590221	0.4374998
13900	-203.1715	-199.5075	-3.663968	2.009366	-0.6610884	0.2182286
14000	-202.7876	-201.133	-1.65464	1.00749	-0.3976187	0.4002961
14100	-202.4613	-200.4567	-2.004546	1.211394	-0.6211985	0.2392222
14200	-204.4346	-202.9172	-1.517423	0.9081834	-0.7575466	0.1747646
14300	-202.389	-199.1431	-3.245853	1.81395	-0.5795739	0.263285
14400	-203.548	-198.8869	-4.661041	2.482633	-0.6001882	0.2510798
14500	-205.6176	-200.5829	-5.03473	2.664748	-0.3692863	0.4272811
14600	-202.5995	-199.2695	-3.32994	1.853232	-0.6128152	0.2438848
14700	-204.5825	-199.3803	-5.202245	2.74744	-0.6831541	0.2074178
14800	-203.1718	-201.7334	-1.438444	0.8356001	-0.4243861	0.376369
14900	-203.0379	-199.9706	-3.067275	1.730414	-0.3895265	0.4078247
15000	-201.9925	-199.4645	-2.527954	1.474769	-0.5132344	0.3067366
15100	-202.0522	-200.0568	-1.995408	1.206503	-0.4868802	0.3259266
15200	-203.3706	-201.4753	-1.89532	1.151828	-0.3282434	0.4696309
15300	-202.4594	-200.8687	-1.590738	0.9637929	-0.5147151	0.3056926
15400	-201.9886	-199.8485	-2.14016	1.282394	-0.5009427	0.3155421
15500	-202.6579	-198.9964	-3.66154	2.008229	-0.5814532	0.2621481
15600	-202.7434	-201.1233	-1.620087	0.984291	-0.6084966	0.2463221
15700	-203.9191	-198.8614	-5.057697	2.676045	-0.5419933	0.2870825
15800	-202.6096	-200.0841	-2.525509	1.473588	-0.3970921	0.4007817
15900	-202.1617	-200.3516	-1.810028	1.103245	-0.5246229	0.2987976
16000	-202.7282	-199.665	-3.063192	1.728501	-0.6462597	0.2258085
16100	-202.1583	-199.1804	-2.977974	1.688528	-0.5386989	0.2892685
16200	-202.8457	-201.1666	-1.679069	1.023379	-0.387055	0.4101522
16300	-202.8495	-198.8727	-3.976899	2.156354	-0.5420988	0.2870128
16400	-202.8846	-200.4336	-2.450957	1.437433	-0.6749313	0.2113823
16500	-203.8768	-202.1118	-1.765021	1.076647	-0.7359417	0.1836785
16600	-203.7872	-199.1957	-4.591517	2.449085	-0.4673728	0.3409001
16700	-202.0988	-200.2206	-1.878205	1.142245	-0.5163781	0.3045243
16800	-202.0706	-199.3439	-2.726663	1.569893	-0.5486204	0.282735
16900	-203.6626	-201.5818	-2.080819	1.251661	-0.3082	0.491813
17000	-202.231	-200.2076	-2.023435	1.221455	-0.4374883	0.365184
17100	-202.8495	-199.0026	-3.846892	2.095163	-0.5968138	0.2530383
17200	-203.0438	-201.6237	-1.420153	0.8149674	-0.4849599	0.3273709
17300	-204.3312	-202.9671	-1.364126	0.6656858	-0.6550575	0.2212802
17400	-202.7712	-199.0506	-3.720617	2.035904	-0.4874179	0.3255234
17500	-202.3973	-199.1346	-3.262642	1.821795	-0.579292	0.263456
17600	-204.9837	-203.1638	-1.819854	1.108955	-0.8104219	0.1547313
17700	-202.9365	-198.8599	-4.076559	2.203408	-0.5422808	0.2868925
17800	-202.1587	-200.2891	-1.869564	1.137378	-0.5485051	0.2828101
17900	-204.0539	-202.6907	-1.363285	0.704325	-0.4071574	0.3915999
18000	-203.2343	-201.6954	-1.538883	0.9252594	-0.3724591	0.424171
18100	-202.6024	-201.0732	-1.529168	0.9176259	-0.507763	0.3106254
18200	-203.4209	-201.0584	-2.362515	1.394113	-0.3283902	0.4694721
18300	-202.0651	-199.2893	-2.775817	1.593213	-0.5236483	0.2994689
18400	-203.2069	-200.6205	-2.58647	1.502946	-0.7007504	0.1991818
18500	-202.4641	-200.3452	-2.118864	1.271419	-0.4032383	0.3951498
18600	-202.6944	-201.0346	-1.659801	1.010879	-0.6106537	0.2451017
18700	-202.8038	-198.886	-3.917861	2.128542	-0.5583139	0.2764943
18800	-203.4928	-199.3322	-4.160608	2.2432	-0.4460271	0.3580741
18900	-203.3993	-201.9748	-1.424503	0.8200902	-0.4013765	0.3968474
19000	-203.9232	-201.4762	-2.447012	1.435511	-0.7510769	0.1773876
19100	-202.3613	-199.3812	-2.980076	1.689515	-0.6007813	0.2507371
19200	-206.248	-204.4239	-1.824158	1.111446	-0.185169	0.6528764
19300	-202.7215	-199.8885	-2.833004	1.620264	-0.402589	0.3957409
19400	-202.1702	-200.3608	-1.80939	1.102873	-0.5304881	0.2947894
19500	-203.2099	-201.7969	-1.413058	0.8062541	-0.5804688	0.2627431
19600	-204.4289	-203.0641	-1.364821	0.7131827	-0.7016005	0.1987923
19700	-202.5597	-200.6081	-1.951622	1.182848	-0.3960889	0.4017086
19800	-203.8478	-199.7399	-4.107966	2.218265	-0.6974915	0.2006821
19900	-202.0528	-199.6426	-2.41025	1.417557	-0.5641959	0.2727747
20000	-202.0158	-199.6438	-2.371957	1.398763	-0.5527721	0.280045
20100	-202.3617	-199.4544	-2.907315	1.655304	-0.6055472	0.2480006
20200	-204.2803	-199.2131	-5.06717	2.680709	-0.475807	0.3343436
20300	-202.8075	-201.1667	-1.640792	0.9983018	-0.6224481	0.2385349
20400	-203.1369	-198.8936	-4.24332	2.282467	-0.5886784	0.257823
20500	-202.122	-200.1834	-1.938601	1.175739	-0.4695953	0.3391601
20600	-203.238	-201.3094	-1.928635	1.170271	-0.6947104	0.2019713
20700	-204.3356	-198.868	-5.467607	2.879872	-0.5818777	0.261892
20800	-202.4843	-199.6441	-2.840256	1.623689	-0.6264441	0.2363501
20900	-202.1955	-199.3907	-2.804896	1.606978	-0.5804448	0.2627575
21000	-204.715	-199.0577	-5.657217	2.975635	-0.6410084	0.2285555
21100	-203.4565	-201.8655	-1.591024	0.9639966	-0.6852742	0.2064077
21200	-202.1204	-199.2137	-2.906645	1.654989	-0.5273133	0.2969523
21300	-201.9758	-199.7413	-2.234453	1.33035	-0.5288189	0.2959246
21400	-203.7163	-200.7774	-2.938895	1.670163	-0.3341273	0.4633111
21500	-203.388	-199.1045	-4.283487	2.301577	-0.4753615	0.3346867
21600	-204.0943	-198.846	-5.248275	2.770282	-0.5661094	0.2715755
21700	-202.3543	-200.5418	-1.812544	1.10471	-0.4352409	0.3670786
21800	-202.5153	-200.9377	-1.577557	0.9543081	-0.5369664	0.2904248
21900	-203.0679	-199.6866	-3.381265	1.877204	-0.6665971	0.215478
22000	-204.7816	-199.2624	-5.519224	2.905845	-0.6715348	0.213042
22100	-203.668	-198.8642	-4.80388	2.551879	-0.5323113	0.2935545
22200	-202.0908	-200.031	-2.05977	1.240642	-0.5605604	0.2750677
22300	-202.1212	-199.2237	-2.897532	1.650698	-0.5163437	0.3045484
22400	-202.9724	-201.5205	-1.451863	0.8494804	-0.4525954	0.3526993
22500	-203.349	-200.7549	-2.594111	1.506614	-0.3411654	0.4558633
22600	-202.3039	-200.5722	-1.731709	1.056432	-0.5520564	0.2805069
22700	-202.7755	-201.2028	-1.572701	0.9507647	-0.4191173	0.380963
22800	-202.28	-200.4395	-1.840467	1.120832	-0.4453312	0.3586483
22900	-203.4114	-201.9881	-1.423234	0.8186115	-0.4007266	0.3974416
23000	-202.6853	-201.1737	-1.511591	0.9033988	-0.4767222	0.3336398
23100	-202.4694	-200.2817	-2.187642	1.306665	-0.4026509	0.3956846
23200	-202.4673	-199.4124	-3.05493	1.724629	-0.6130823	0.2437349
23300	-204.8677	-202.0738	-2.79384	1.601747	-0.2666885	0.5411423
23400	-202.0824	-199.9481	-2.134239	1.279348	-0.56482	0.272383
23500	-202.2112	-200.3303	-1.880864	1.143739	-0.5662413	0.271493
23600	-202.0331	-199.5654	-2.467705	1.445582	-0.5566081	0.2775824
23700	-203.054	-198.9852	-4.068775	2.199728	-0.4955371	0.3194941
23800	-202.0637	-199.7214	-2.342282	1.384128	-0.4676428	0.3406883
23900	-202.5857	-200.9936	-1.592117	0.9647746	-0.4468336	0.3574098
24000	-203.7828	-198.9564	-4.826397	2.562835	-0.6198922	0.2399428
24100	-202.2525	-200.0527	-2.199748	1.312812	-0.601167	0.2505146
24200	-202.8542	-201.3798	-1.474361	0.8710414	-0.4602112	0.3465683
24300	-201.9814	-199.7125	-2.268952	1.347666	-0.5354901	0.2914137
24400	-204.0859	-199.4111	-4.674722	2.489247	-0.445521	0.3584916
24500	-206.5835	-201.0357	-5.547786	2.920248	-0.3573657	0.4391716
24600	-202.5837	-199.4702	-3.113467	1.752044	-0.6261229	0.2365251
24700	-202.1354	-200.3016	-1.83374	1.116971	-0.5190501	0.3026565
24800	-205.3763	-199.0588	-6.317507	3.317046	-0.6259949	0.2365947
24900	-201.9706	-199.6966	-2.273986	1.350184	-0.5056707	0.3121255
25000	-202.5577	-198.9631	-3.594581	1.976893	-0.5596637	0.2756362
25100	-202.068	-199.9247	-2.143319	1.284017	-0.466637	0.3414782
25200	-203.6398	-200.7013	-2.938495	1.669975	-0.7267988	0.1875863
25300	-203.5836	-199.5293	-4.054281	2.192877	-0.4254547	0.3754441
25400	-202.6698	-200.7877	-1.882111	1.144439	-0.3874	0.4098265
25500	-202.2663	-200.5451	-1.721241	1.049974	-0.5305996	0.2947137
25600	-204.0636	-202.0385	-2.025125	1.222353	-0.7573592	0.17484
25700	-202.021	-200.0062	-2.014812	1.21687	-0.5124455	0.3072943
25800	-203.7841	-199.0701	-4.713975	2.508244	-0.6383625	0.2299522
25900	-206.751	-203.6587	-3.092286	1.742128	-0.2023105	0.6276095
26000	-202.5904	-200.8196	-1.770857	1.08014	-0.4054333	0.3931576
26100	-203.9866	-198.9126	-5.074008	2.684077	-0.5258586	0.2979486
26200	-201.9891	-199.5453	-2.443809	1.43395	-0.5375266	0.2900504
26300	-202.4959	-200.677	-1.818929	1.108419	-0.4126446	0.3866833
26400	-202.1652	-200.2872	-1.878003	1.142131	-0.4672536	0.3409937
26500	-202.2657	-199.3665	-2.899238	1.651501	-0.4673371	0.3409281
26600	-202.1396	-199.2853	-2.854286	1.630311	-0.4943301	0.3203833
26700	-203.5512	-198.8975	-4.653681	2.479077	-0.6030577	0.2494264
